"ZIPCODE","CITY","OVERALL_COND","TOTAL_VALUE","LAND_SF","MAIL_ADDRESS","lat","lng"
"02128","EAST BOSTON","A - Average","572,800",2158,"26 SWAN AV #A",42.3886616593472,-70.997437319317
"02128","EAST BOSTON","A - Average","572,800",2158,"26 SWAN AV #B",42.3886616593472,-70.997437319317
"02128","EAST BOSTON","A - Average","535,400",1250,"107 PUTNAM ST, Unit 1",42.3792883187883,-71.0326550195008
"02128","EAST BOSTON","A - Average","568,800",1250,"107 PUTNAM ST, Unit 2",42.3792883187883,-71.0326550195008
"02128","EAST BOSTON","A - Average","358,700",829,"241 EVERETT ST #1",42.3654524934298,-71.0300416723724
"02128","EAST BOSTON","A - Average","380,300",500,"241 EVERETT ST, Unit 2",42.3654524934298,-71.0300416723724
"02128","EAST BOSTON","A - Average","432,200",543,"241 EVERETT ST #3",42.3654524934298,-71.0300416723724
"02129","CHARLESTOWN","G - Good","830,600",1391,"7 BELMONT ST, Unit 1",42.3807967970202,-71.0656849415253
"02129","CHARLESTOWN","G - Good","966,600",1604,"7 BELMONT ST, Unit 2",42.3807967970202,-71.0656849415253
"02111","BOSTON","G - Good","1,537,900",3731,"111 BEACH ST #5-I",42.3507695583922,-71.0579199368516
"02118","BOSTON","E - Excellent","2,078,500",1326,"107 Pembroke ST, Unit 1",42.342167388468,-71.0765084707345
"02118","BOSTON","E - Excellent","1,855,000",1326,"107 PEMBROKE ST, Unit UNIT 1",42.342167388468,-71.0765084707345
"02118","BOSTON","A - Average","831,900",1057,"663 Tremont ST, Unit 3",42.3417726053946,-71.07577395364
"02118","BOSTON","A - Average","1,742,400",1617,"663 TREMONT ST #3",42.3417726053946,-71.07577395364
"02116","BOSTON","A - Average","2,160,400",2358,"30 YARMOUTH STREET",42.3461068573551,-71.0769933636855
"02115","BOSTON","A - Average","990,700",1566,"55 SYLVESTER AV",42.2845804727027,-71.047537270068
"02116","BOSTON","A - Average","1,904,300",2007,"16 FAYETTE ST #1",42.3489884324517,-71.0672344573853
"02116","BOSTON","A - Average","1,674,000",1500,"16 FAYETTE ST #2",42.3489884324517,-71.0672344573853
"02116","BOSTON","E - Excellent","2,394,900",1974,"52 MELROSE ST, Unit 2",42.3489134430299,-71.0686109553559
"02116","BOSTON","A - Average","864,300",936,"27 APPLETON ST #1",42.3460477659367,-71.0712928344358
"02127","SOUTH BOSTON","A - Average","566,700",845,"172 W SEVENTH ST #1",42.334670049751,-71.0514207520599
"02127","SOUTH BOSTON","A - Average","560,200",838,"172 W SEVENTH ST #2",42.334670049751,-71.0514207520599
